       x      y[0]       y[1]
-------------- rkf ----------------
  0.519000  -1.034510   0.281457
  0.520000  -1.033976   0.281327
  0.521000  -1.033445   0.281198
  0.522000  -1.032918   0.281069
  0.523000  -1.032395   0.280942
  0.524000  -1.031875   0.280816
  0.525000  -1.031359   0.280690
  0.526000  -1.030847   0.280566
  0.527000  -1.030338   0.280442
  0.528000  -1.029833   0.280319
  0.529000  -1.029332   0.280197
  0.530000  -1.028834   0.280076
  0.531000  -1.028339   0.279956
  0.532000  -1.027848   0.279837
  0.533000  -1.027361   0.279719
  0.534000  -1.026877   0.279601
  0.535000  -1.026396   0.279485
  0.536000  -1.025920   0.279369
  0.537000  -1.025446   0.279255
  0.538000  -1.024976   0.279141
  0.539000  -1.024510   0.279028
  0.540000  -1.024047   0.278916
  0.541000  -1.023587   0.278804
  0.542000  -1.023131   0.278694
  0.543000  -1.022678   0.278585
  0.544000  -1.022229   0.278476
  0.545000  -1.021783   0.278368
  0.546000  -1.021340   0.278261
  0.547000  -1.020901   0.278155
  0.548000  -1.020465   0.278050
  0.549000  -1.020032   0.277945
  0.550000  -1.019603   0.277842
  0.551000  -1.019177   0.277739
  0.552000  -1.018754   0.277637
  0.553000  -1.018335   0.277536
  0.554000  -1.017919   0.277436
  0.555000  -1.017506   0.277336
  0.556000  -1.017096   0.277238
  0.557000  -1.016690   0.277140
  0.558000  -1.016287   0.277043
  0.559000  -1.015887   0.276947
  0.560000  -1.015490   0.276851
  0.561000  -1.015096   0.276757
  0.562000  -1.014706   0.276663
  0.563000  -1.014319   0.276570
  0.564000  -1.013935   0.276478
  0.565000  -1.013554   0.276387
  0.566000  -1.013176   0.276296
  0.567000  -1.012802   0.276206
  0.568000  -1.012430   0.276117
  0.569000  -1.012062   0.276029
  0.570000  -1.011696   0.275942
  0.571000  -1.011334   0.275855
  0.572000  -1.010975   0.275769
  0.573000  -1.010619   0.275684
  0.574000  -1.010266   0.275600
  0.575000  -1.009916   0.275516
  0.576000  -1.009569   0.275433
  0.577000  -1.009225   0.275351
  0.578000  -1.008884   0.275270
  0.579000  -1.008546   0.275189
  0.580000  -1.008211   0.275110
  0.581000  -1.007879   0.275031
  0.582000  -1.007550   0.274952
  0.583000  -1.007224   0.274875
  0.584000  -1.006900   0.274798
  0.585000  -1.006580   0.274722
  0.586000  -1.006263   0.274647
  0.587000  -1.005948   0.274572
  0.588000  -1.005637   0.274498
  0.589000  -1.005328   0.274425
  0.590000  -1.005022   0.274353
  0.591000  -1.004720   0.274281
  0.592000  -1.004419   0.274210
  0.593000  -1.004122   0.274140
